label,data
joy,ngupingkeun bocah ngawadul meuni cicirikikan sareuri..... meuni bungah....... janten ingeut masa alit kapungkur.
fear,Nonton contagion (2011) film nya kaya keadaan covid-19 skrg. Sieun positif anyeeeng
fear,Serem kieu njirr di gebugan meh naon sateh maen gebugan wae
fear,"Aslina ngaderegdeg sieun pecah :D . Bae lah, teu apaleun da muka na"
sadness,Ku bakat sabar wae nepika cai soca teu katahan sing kuat namina ngumbara sopi sing kuat jauh ti kolot sorangan can karasa k mnehna antepp eweh nu ngarti hji2 acan geu nu penting mah GAWE apanan
sadness,"subhanalloh nya,, asa saredih ningali foto2 dulu.. Barageur keneh,,"
joy,"Ketemu beneran dong ama Mantan Walikota Bandung dan sekarang jadi Gubernur Jabar, Kang Ridwan Kamil . Hatur nuhun atas waktunya. Semoga berkesan liburannya di ujung timur Pulau Jawa"
sadness,"Oh jadi gini kelakuan? Urang bebelaan ngadekem dikosan, nahan balik ti Jakarta ka Tasik ngarah teu jadi carrier tapi kalakuan maraneh kitu teu solider. Urang teu balik, maenya maneh balik. Karunya kolot di lembur rentan virus atuh gais. Cape lah ngomong jeung nu teu paduli :')"
fear,Eta saha sih nu nempokeun di belakang? Meuni horor
sadness,"Sedih pisan, asa salah pisan, asa t wajar pisan, asa ku t kudu jd kie.,, Hampura pisan"
sadness,teu tega ningali wrga palestina!
joy,"Bahagia mah teu kudu mewah loba harta(Sagala Aya), salah sahijina cukup sllu bisa seuri dina sagala kaayaan oge Alhamdulillah bahagia."
fear,"Asa hariwang liat yg pacaran di tl,bukan karna sirik tapi da ""drama"""
fear,Atulah penasaran. Tapi sieun. Bulu kuduk lahir batin merinding iki.
fear,"Haduhh.. Sarieun kieu ningali jarum suntik,pisau bedah!!!"
anger,"Sok sadar diri ka beunget jeng penampilan sia, siga kampungan, parcuma pura pura jelema benghar geh, beunget sia..."
anger,Manajemen Goblog! Nu alus dilepas ari nu butut dicokot
sadness,"Asli kaduhung nepi teu bisa sare saminggu mah, jaba anu perform aralus ah kacida"
sadness,Inget baheula keur keutik nempo haji geyot di diperempatan saacan ged merdeka.. asa waas
joy,asane teh meuni bungah pisan mun ningali o0m didi ngalangkung di beranda twitr abdi
fear,Bakat ku sieun ditilang ieu teh lurd
sadness,"Jam sakieu , sepi pisan karasa pisan nyeletit nya kana dada, nyai.. Akan teu wasa ninggal keun nyai tapi kedah kumaha, akang kedah ngumbara!"
joy,dulu mah nya nepi ka bosen aih ningali justin di tv teh eh ayeuna mah bungah pisan mun ningali
sadness,Tanyakeun ka batur ai teu ngartos mah ulah dipikiran ku sorangan bisi gelo . Rada watir urang mah :(
joy,"Akun ini dijieun ku aing meh ngeunah seuri, ngeunah mencug, lancar ee jeung ngeunah ngbrol sama batur"
fear,"tadina mah hayang ngadongeng jurig. tapi bakating ku serem eta dongeng, kami nu ek nyaritakeun na ge jadi sieun. muringkak, teu jadi weh"
sadness,Meuni asa karunya :((
fear,"Duh GUsti,asa hariwang.teu tiasa na2on.mung saukur cicing.,(˘̩̩̩^˘̩̩̩ƪ) , asa ku nyeriiiii."
fear,Hujana meuni gede tur palaur ku petir deui... mudah2an citarum teu luber..
joy,Bungah ningali persib pan a hah
fear,Aamiin... Hariwang nempo kondisi makin kieu teh jujur weh.
joy,mun aya nu nanya ayeuna mah ceritana oge sambil seuseurian. tuda lucu weh kitu meni bisa ka hipnotis kos kieu teu nyangka pisan
anger,teunggeul pundukna ku gagang pacul...!!!
sadness,"ah ajig hayang leweh teu bisa indit ka drums day, aaaah hayang ceurik"
fear,Insidious serem pisan lah...ngaderegdeg..
anger,Anying. Esmosis kieu. Hayang neunggeul poskamling make kolak sak drum badag.
joy,Ngeunah seuri gini ey.. ningali yg bobogohan pasea diTL.. sing putus lah.. Aa nampung kok
sadness,osok hayang cerik ningal kondisi batur beut kieu kieu teing
joy,Asa raos lalampah liverpool kengeng mah.Nuhun gusti dinteun iyeu meni bungah pisan.Teu saat2 kabungah abi. Nuhun liverpool
joy,Bagja boga pamingpin jiga kang @ridwankamil ..nuhun kang
anger,Nuhun nuhun atuh saria teh kehed euweuh pisan syukuranna rudet
fear,"Tuh nya , padahal saya mah aslina asa melang tur hariwang !! Lain nanaon , soalna didinya pan parantos didapuk janten duta rekonsiliasi antara 01 02 , lamun ujug2 kainjek vaksin palsu , pan nu lain jadi sarieun bade rekonsiliasi , pajar duta na oge diracun vaksin palsu"
joy,mm wareg!! alhamdulillah Gusti meuni nikmat..
fear,"centeng mah boraha jd mantan, dideukeutan oge ngadegdeg sieun"
sadness,"Urang hayang leweh, lain nyengcerikan jelema, tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun."
fear,Tuh pan ahirnamah ngaku ning? Aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur! Duh Gusti.
anger,Lamun kieu mh gs cenderung membahayalan keselamatan tim atuh? punten wee.. MANAJEMEN GOBLOG!!!
joy,"Bungah datang teu wasa balik,mendak bagja nu teu ditampik ,Syukur kengeng munajat ti Gusti,,kempel sareng kulawargi,,"
joy,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri
anger,"Matakna jd perempuan jgn bodoh atu, rek naon ngadatangan si botak ... beuuuhhh, Anti galau mah sholat sing kereup ... dodol"
joy,"Alhamdulilla, atos majeng ayeuna mah, mudah-mudahan teras majeng salamina, bingah ningal sareng ngupingna."
fear,"Ga kebayang kl jadi penduduk di sekitar gunung merapi. Pasti riweuh, sieun, ngaderegdeg. Kl mau aman, hrs ngungsi minimal 20 KM"
anger,Ngeselin bre lila si kehed te pira surat kesehatan nungguan sajam gblg teh setan
fear,"Peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna éta pikasieuneun. Urang angkat ka leuweung, saurna urang ampir nyampe (ka tujuan). pas nyampe kuring ngajerit jeung ceurik."
anger,Eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena. Centang ku aing loba protes mah
anger,"Carekan mang,tuman nu kitu teh sok hayang nakol tangkurak na aingmah"
fear,Asa keueung Hirup di zaman sontoloyo
anger,"Nggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu Euweuh gawe pisan hirupna Teu kaop sarua setik disebut nurutan, bubudakeun Belegug siah"
joy,|teu ereun nyakakak nyakikik dugi ka nolol panon || sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk|
joy,Haturnuhun Ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik
sadness,Karunya meuni di kepret kitu pantat na:(
anger,Aslina min jangar kanu Hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie Cara na mah
fear,Aslinya serem uy niat niis ningali nu aneh mampret ah
fear,Bakat ku nya'ah jeung sieun kaleungitan mneh urang teh
joy,"Ternyata aku masih berharap euy sama kamu, apalagi dikasih harapan gini mah makin atoh hahaha"
anger,aduh kehed jingan sia monyet
fear,"Di belakang rumah aku ada yang meninggal, cucu-cucunya pada nangis patarik tarik:( sarieun pisan"
joy,Nuhun gusti atas rizki mu meski pengangguran aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang
joy,Bagja akang mah...ningali nu boga adi nurut teh...eim
fear,"Edan pugliara robertino tadi getih na nepi ngucur kitu,, gara² duel adu kepala jng bek persiba , kalah hariwang nempo nage"
joy,duuuuh bungah hate ningali maraneh. Sing balageur satuluyna. Tong picacapekeun batur nya
joy,Menciummu dalam foto dan memelukmu dalam mimpi aja akumah udah bungah banget da meuni asa milik diriku sorangan kamuteh hih
sadness,Aman di dinya sep? Asa ngadadak sono balik anjir :( ngan maca berita eta inget oge ka indung.
joy,"Alhamdulillah, ngiring bingah ningal rerencangan sakola SMA Kang Adang Muhyidin berhasil menggapai impian. Mugia berkah salawasna dipaparin kalancaran Amin Ya Rabbal Alamii"
anger,Kadenge ngagogoreng indung hareupeun aing d galey sia ku aing !!!
anger,tong sok balaga hayang di kepret ku aing.! Buktikeun heula.!
joy,Makasih banyak foto sudjiwo tedjo yg diedit jadi jack sparrow.. alhamdulillah seuri deui urang
sadness,"sedih Ningali Indonesia eweuh Liga, mana Sepak bola anu jd PEMERSATU BANGSA, ayeuna iwal jd kenangan"
joy,Bungah tur bagja ningali dulur dulur tetep leukeun berkarya dina widangna sewang sewangan..
sadness,"leres pisan kang,,orng sunda mah saromeah...asa nyeredet kanu manah...di sebut jabar garis keras,sakelas prof otakna dangkal"
fear,PMKS harus ditertibkan. Meresahkan ini mah tiba2 nusuk jarum dr belakng. Asa sarieun kieu
anger,dua nana lur heeee hampura prihatin loba nu ngaremeh keun virus jadi kehel ..hampura x dui
sadness,Masjid di lembur kolot meuni sedih ningalna sugan bisa di omean deui... Daerah cipanas
sadness,"ku alesan hayang mandiri,kapopohokeun ku ieu diri,ku alesan geus gede,anjeun mindeng raheut na hate. Ema..Hampura :'("
joy,"Ngeunah seuri,ngeunah sare nmpo arsenal d bubuk"
joy,"Teuing mun ceuk urang mah, meunang chat ti kabogoh nu eusina loba emot na sok atoh we. Alay sih, tapi paduli teuing."
joy,"Ngupingkeun Lagu Cianjuran,di Tamih Kopi Hideung,sareung hujan cuk clak,Nikmat kieu Gusti"
joy,"punten riya dan sombong euy, atuh da bingah pisan. Sarasa mimpi. Punten pisan. Aduh atuh da bingah pisannnnnn"
sadness,"Asa cerik batin abdi mh, ya Allah....semoga si ema sllu sehat, di murahkan rejekinya...amiin"
joy,"cingdem di sebut nu gelo ku indung nyakakak sorangan macaan karya ngacapruk mang edan.""GARUNG"""
anger,"Aslina maruk na beragama teu make akal kitu. Garelo jelema teh wa lieur... Bieu urg nempo aya jenazah corona dek dikurebkeun, warga2 pada nempoan ngarumpul coba mun kieu wae man indonesia jd pang rangsakna ku corona"
joy,Alhamdulillah 3 point. Nuhun gusti. Nuhun Persib.
joy,"Hahaha dikirim ku abdi coet lenang jeung tulang na hungkul @adiristandinya kang meuni nikmat pisan,,Alhamdulillah,,wkwkwk"
anger,"sok kehel aing mah... emang maraneh bisa maen? nya geus atuh maraen, milu seleksi ka persib kaditu!! persib eleh keuheul aing ge, tapi teu ngagogoreng. da karasa atuh ai geus dilapangan mah kumaha... ngarasa aing ge hesena dilapang kumaha. naha meni kaleuleuwihan pisan asana teh"
sadness,"karunya ih ningali begal anu di duruk, kapok siah tah nu ngadurukna pasti di jungjurigan"
joy,Alhamdulillah katampi pisan kang haji
sadness,"Nyeredet hate ngucur cai soca teu karaos pas maca tuitna,,bener2 pas ngena pisan kana hate,,yu urang sunda follow"
joy,"Persib 2-0 persiwa 2009 ,, alhamdulillah ngora keneh urang berarti"
anger,masi aneh sama org org yg ngejual masker. goblog sia teh bener bener setan anjing aing neangan eweh dimana mana anjing sia ngajual harga jiga nu eweh otak anjing setan sia ker kieu di jadikeun bisnis setan! aing aral yeuh kumaha mun maung aing kaluar?!
sadness,"Karunya nu jomblo geus aweuh tinggalieun di jalan, lekas membaik bandung :')"
fear,"Aya naon coba jeung lembur abi, seeur keluarga janten asa hariwang kieu :("
joy,"Yawlaa semoga tidak salah ambil keputusan nonton film ini, dari awal geus seuseurian da urang mah, komo part eta"
fear,"mun ningal laga sore kamari jeng tadi peuting asa melang keok telak, pemain na berenergi tinggi batur mah,,,,,"
fear,"Otoriter euy, sieun jadina"
sadness,"Sedih euy, waktu asa tereh amat. Nepi ayeuna can lulus lulus. Kumaha ieu"
fear,Tapi yeuh aing na ngaderegdeg sieun ih:(
joy,"Slina mang, ngeunah seuri ieu mah lah"
sadness,"leles hate , hayang leweh ! ! Hiks hiks T_T"
fear,Iih...serem bngt ceritanya *ngadèrègdèg
fear,sarieun kieu euy piknik ka bdg ningal kos kieu th
sadness,Nungguan 4 taun ujungna kieu. Saredih kieu gusti:( kalian mun dikieukeun bakal sedih moal euy?
joy,Bingah gaduh president Keren and gubernur
sadness,Mang euleuh punten ah tong nga upload photo korban na atuh meni asa teu wasa ninggal na ge :(
anger,"beunget sia rata... Seseuh tah beunget ,anj!nk bencong da sia mah !!! Keparat_luh dasar badjingan sia"
sadness,"Sedih ningali PERSIB eleh teh,sarua jeng sedih ker di tinggal kawin ku mantan"
joy,HUJANNYA WAYAH GINI! NUHUN GUSTI! NUHUN KANG EMIL!
fear,ALAHSIAH JADI GAK YA KE SAPAR ASA SIEUN bisi motorku melenyap oge soalny baru dimandiin
fear,"Padahal nu di sms teh lain sasaha,tapi mun teu ngbales teh sok asa hariwang~"
anger,Mana jelemana mang!!!podaran ku aing!!
fear,Aku kalo inget tahun 2018 suka muringkak
joy,"Alhamdulillah gusti meuni nikmat kieu ieu liwetna, hatur nuhun barudak liwet sareng peteuy bakarna katampi pisan"
fear,Kakarak deui ngarasa sieun ngadenge cai hujan jeung angin jeung geledek..... Nepika lilir kiyeu.
joy,Indung aing meni gogorowokan bungah ningali semarang bisa malikeun skor
fear,Ngadegdeg sieun barca eleh
fear,Kemaren madinah sekarang solo. Duh Gusti kenpa dunia asa keueung
fear,"Ninggali bulan keur full moon, jol sarieun nahanya"
sadness,"Jiaaah karasa deui ka inget deui,ngoceak batin kasuat2 manah, asa teu daya uPaya.heueuh rumasa ieu salah kuring.rumasa teu kawasa,narimakeun"
anger,"Mun aya nu ngomong ""slow aing mah teu sieun ka corona"", ""tong panik, dibawa slow ku virus mah"". Hayang ngagorowok ""waduk anyinggggg"""
anger,"anying jangar teu boga duit pisan lieur, hayang mabok. meuli ah"
sadness,"Duka kunaon,ieu cai soca teu liren-liren ngucur dina shalat Ied boboran taun ieu.Asa seeur lalampah anu awon teh.Hampura samudaya kalepatan"
sadness,"Reii nyurucud cipanon mun inget jasa kanu jd indung jeung bapak. Hapunten abdi teu acan tiasa mulang tarima, mung saukur doa jeung doa :'("
fear,Kumaha nyaa asaa keder kieu yaallah
sadness,Naha sih mak meuni leuleus kitu ih karunya² teuing
joy,"nu alus dikeprokan nu butut dijejeleh, kadang nyakakak ningali polah pamaen labuh neunggar nu lalajo."
anger,"yeeeh nya budak teh teu beunang pisan dibejaan! geus heup heula geura uulinan na peperiheun engke kalah gering sateh, nu balangsak teh lain sia hungkul bebel, nepaan batur engke nyusahkeun sarerea. kehed teh!"
sadness,Mani kuat nyurucud cai panon ningali si jalu ngagoak... Sing janten jalmi soleh jalu...
sadness,"Jam sakieu udud jeung cikopi, bari ngahuleng jero.. Sok Asa jauh panineungan, inget ka lembur ,ras inget ka kolot, ka dulur2, inget ka babaturan2 .. Jol curambay mata, pernah aya nu ngalaman siga kieu? :''')"
sadness,mun ker kieu asa saredih ningali eta teh :')
sadness,Imah sepi yawloh saredih indung dirawat di rumah sakit inget indung ker masa masa sehatna nu sok mapagahan :((((
joy,"""Kami fokeus di AFC..hahahahaha.."" ngeunah seuri kieu..padahal geus make jurus undur2 dan jurus nyali nyali alasan.."
anger,"GANDENG BGSD, BISI DI CENTANG KU AING!!!"
joy,Nuhun 2 poe ieu loba hiburan pikaserieun ngaliwat di TL
sadness,"Merinding anying ngadengeken nu takbir, teu walakaya sorangan mah teu bisa nanaon. Pikasedihen lamun dicaritaken mah"
fear,"Isukan arek daremo moal nya? Sarieun euy isukan bade kaluar. Sing aya nu ngajieun jalanan maceut. Jadina weuh sarangeuk, tp na da kumaha nya mun gawe mah teu bisa deui di tinggalkeun"
joy,"Asa ragrag jajantung, bingah ammarwatasuta"
sadness,"Duh gusti abdi sumerah diri, waruga jeung sukma asal ti anjeun, jaga ning geto balik deui mung ka anjeun"
sadness,Duh Gusti bagja kacipta nalika raga ngaraba takwa lain beja lain carita cai soca ngeclak emut kana dosa
sadness,"ka batur kasaha kami mah didieu jauh pisan ka tatanga, maklum gening nyai hirup handapeun gunung mah komo eta pas listrik aliran lain kedah ka landeuh meser lilin.. Hah da meni matak cape.. anu sedihmah pas bade ninyuh kopi Gas ns seep duh meni handeueul"
fear,"Sok sieun dosa .. di itung.....da asa karek kamari, teu di itung da panasaran ajig :("
sadness,"Yaa Allah mo Ramadhan ni, hempaskan COVID19 dr bumi ini. lamun Romadon masih keneh dirumahaja moal we atuh euy bukber dan berburu ta'jil teh. ni sok saredih ih"
joy,"Ajig ngadon babarakatakan kieu ningali persib teh ieu mah, eweuh tegang-tegang na"
anger,TONG ASA AING PAYU KABEH JELEMA DI RAYU. KU KITU NA GE SIA KAGOLONG JELEMA NU NGAHUNTU HUNGKUL
anger,"Sia aranjing jiga nu gs bener wae,sakitu pernah ngalaman oge.munafik blog"
anger,"Corona mun bebentukanna jiga beurit, kuaing galey da make motor, bari ngomong ""hakan anjing! Grgr sia aing gelisah panik resak!"""
anger,Bodo sateh meni hayang nakol. Geus nyaho di titah cicing di imah kehed!
anger,Hahaha te apalen aing budak BARDO meren ari gs di leyek ku aing babatok na mh yuuh siah anjing Polontong pisan sia anjing
sadness,Asa warara'as gusti mendengar gema takbir d media . .meringkak sagala-gala batin kokosehan manah ngoceak maratan jagat . .
anger,uh saria meni rariweuh kepret ku aing
joy,"juma'ah barokah , bagja ningali pameget nuju sarolat juma'ah .duh gusti Alhamdulillah , cicurug mash seeur keneh calon imam anu soleh aamiin"
fear,"anjir maneh ih,sarieun aing mah pas ninggali halaman depanna ge"
joy,sok asa bingah ningali budak jeung pamajikan sereuri ....terimakasih ya Alloh atas segala kemurahnMu...
fear,"Hampuraaa teh, tong galak galak teuing ni sararieun"
anger,"Nu sagala aya, nu sagala boga ulah sok balaga, INGET nu aya di dunia ngan sakur sementara nu hiji masa bakal sirna. MIKIR GOBLOG!!!"
joy,"AlhamduliLlah..cuaca na meuni sae,ngadangu azan maghrib oge asa nu nikmat kieu ieu teh..."
fear,Ni order ojol ke daerah zona merah berapakali order minta dicancel mulu allohu Sieun sih emang khusus daerah ini tuh
sadness,Ya allah liat org mninggal... sok inget ka kolot hyang blik we da hyang ngrus kolot... mmh hmpura pisan
joy,makasih sia geus perhatian duh bagja boga adi th sanajan sok pasea ge ({})
sadness,Muhun karunya. Tukang nasi kemarin tos teu icalan. Muhun sing gera pulih. Teu wasa ninggal anu susah. Aamiin ya Allah
anger,"Naha ari nyaneh ma,ruf amin mmwa bobotoh nyaneh cicing wae..mikir atuh lain ngahuntu wae..."
sadness,"Ya alloh gusti nu maha suci, mung ka anjeun abdi tiasa sumerah, mung ka anjeun abdi tiasa pasrah :((("
joy,"Bungah kie ningali si David Laly uy, lawan Persiba mun nyien gol dei kawas kitu, edan…"
fear,Si aji poe ayena sensi wae bagoy jadi sieun ngadenge si aji ngambek mah
joy,tdi pas ulangan b.inggris seru komo pas bgian listeningna aduh rame pisan kalah babarakatakan weh seri gra snesna ngerjakeun
joy,Alhamdulillah meuni nikmat th karasana ai udud tos mam th adeuuhh syukuran ya allah
fear,"Asa hariwang,| asa teu puguh kieu :|| ya allah ya rabb""|,,,,,,,,
anger,maruk sia saha kehed? ngatur ngatur aing,,,,,,,,,
anger,NYA MEUNGGEUS ATUH GOBLOG KUMAHA SIA WAE LAH PADULI BAGONG,,,,,,,,,
anger,""Bosen hirup jigana mh Loba gaya pisan jeung teu di helm deui,teu boga pikiran jiga bangsat nu di udag wae.Mun cilaka mh nu hariwang kolotna ngabiayaan.Rek kamana atuh boss.Cik atuh mikir da lain budak."
sadness,Nyol urg ningali berita ti palestina ningali dulur urg sarerea teumeunang solat di masjid Al.Aqsa.Aya ku meunang kudu lewat pintu logam :((
joy,Nuhun pisan ieu ngeunah seuri bangsat
sadness,Sing kuat hatee singe gede hate.... Mbung cerik..asa lebar kudu cerik deuui mah...ges kudu na kieu....
anger,"WASPADA KUDU, NGAN TONG SIEUN GOBLOG GEURA. LEBAR IMUN SIA DIPAKE KAKURAS KU LOBA KASIEUN MAH. HEPAN WE. ENJOY. TAPI TETEP SIAGA WASPADA. TONG LOBA LALAJO PIDIO GANAS CORONA. JEUNG LOBAKEUN NGADOA"
anger,"Ke antep cenah moyok heula, ke geus jadi ku aing di taplokeun kanu babangus na"
fear,"Eta ninggal nu demo dinu tipi,Gustiii kitu geuning ngamukna rakyat Garut teh,matak sarieun iihh...kop tah pak masihan"
joy,Nuhun ieu reply ngeunah seuri tibatan nyeri hulu
anger,"Hidup kadang di atas akadang dibawah , kadang aing kudu nenggeulan jelma siga sia ,kuaing dagorkeun sirah sia ka trotoar kuaing seret beunget sia di aspal , tincek krongkongana , talikeun kontolna na natangkal, kapoekan sia paeh"
fear,sumpah sieun dan bulu kuduk merinding
