label,data
3,Aduh anjir hiburan pisan bapa aing teh naha nya. Asli ga butuh kaya untuk bahagia
3,"aduh asa dosa euy nyeungseurikeun ibu"" labuh ti sorodot hahahaha ngeunah seuri kieu hahahaha"
2,Aduh euy ni saredih.
3,"Aduh gumujeng sim abdi, hehehe sanampan, sabaki, edankeun tadz."
3,aduh gusti meuni ngeunah nyuruput mie
2,Aduh karunya kiyeu cs Abi kabanjiran modol ge Kedah ka pabrik
1,aduh kehed jingan sia monyet
3,aduh mang ngenah seuri
4,Aduh ngaderegdeg gini euy sieun
3,Aduh ngakak pisan aing Alhamdulillah hiburan disela-sela pandemi
2,"Aduh rasa kecewa geus t bisa dibendung, Kudu kmh atuh persib teh, sebagai bonjovi ( bobottoh nonton di tv) keesel jeuung sedih ningali persib main. Sebagai tuan rumah dengan dukungan sporter luar biasa,, tetep eleh,.."
2,"aduh setelah itu merasakan peurih nya dua, ngoceak teu kiat hayang bahagia deui. sedih :("
4,"Aduh teteh... Sy mah teu mudik ieu,sieun dicap ODP"
4,aduh yum.. Asa hariwang kieu euy part laguna...
4,"Aduhh nyii jadi muringkak kieu punduk, tos ahh bade uih heula"
3,"Aduhhhhh meuni bahagia urang euy,hhhaaaaa :v"
3,aduuuhhh... hate kuring meuni bagja pisan jeung adem ngadangukeun tembang na.
3,"adzan kedengeran makin kenceng, rarasaan atau kumaha. seneng dengernya:)"
2,After this scene my eyes cirambay kagak kering2 :(
2,"ah ajig hayang leweh teu bisa indit ka drums day, aaaah hayang ceurik"
4,Ah gelo mempo trending twitter meuni soak euy;(
2,Ah hanjakal teu cicing di bandung ari kieu carana mah:(
1,"ah tah aing kurus tahh. Org bilang gendut bodo amat da aing ngerasanya kurus. Muak aing liat tl isinya cewe kurus badan tulang semua bilang ""aku gendut ya?"" Gendut gendut huntu sia tah gendut. Caper pisan si goblog"
3,"Ahahaha,, tos aya acis deui ayeuna mah, meuni bungah ieu duh"
3,Ahhh anjiss ningali si neneng eta tersenyum meni bungah na ka cida euy.
3,ahhhhhh aing mah euy aya2 wae....dewek rek sare malah ngabarakatak mac iyeu.... bubaaaar.....bubaaaaar
3,Ahiig hoboog ningali avana si mamang @sengklekkk nyakakak wae lah sengklek teh... Wkwkwkwk
1,Ai bbm aktif terus bc-bc test aktif teh biar apa sih gengs? Beunget sia tah anyeng aktif keun mah lah pusing
2,"Ai keur dahar ngeunah teh ,sok inget ka budak, sok inget ka kolot, sok inget ka adi .. :(("
3,"Ai malem minggu téh sok atoh lah, atoh bagéan ngaronda :D"
4,Ai ngadangukeun nightmare side teh sok muringkak bulu irung euy
1,"ai si goblog te kitu oge tolol, meuni eweuh ka era sister teh. Siana blegug gatel ai salakina ge biadab mokondo lah caduk magadir"
1,ai sia mun aya masalah geura sareken ulah baceo wae congorna bisi di wewelan bagong
1,"ai sia ngerakeun keluarga, di cacag ku aing"
1,"ai sia, dibere hate teh menta jantung. kumaha tangkurak sia weh. eyy kitu jelema teh, edan."
4,"aih, ath da sieun pi lmun ngadangukeun neigmare mah. Sieun aya disisieun"
3,"Aih, hatur nuhun atuh nya Meuni nyaah pisan urang euy, jadi asik pan"
2,aing asli ceurik ningali na huhuhu nyeri hate
2,"AING ceurik. Lain nyengceurikan kaleungitan SIA. Tapi ieu cara AING nga'IKHLASKEUN Jelema nu PANTES Jang Hirup AING!! ""NUHUN GOBLOG""!!!!!"
1,"Aing etamah min,,nyindir caritana??baku hantam nyok"
1,Aing hayang neunggeul ieu jelema
3,aing kuatka seuseurian sorangan kiyeu. aslina ngeunah seuri
4,aing lamun ningali si aldi sok hayang lumpat. asa ningali jurig weh. sieun
2,"Aing mah ditinggalkeun ku indung bapa, sia mah henteu anjing.. Nyeredet kanu manah Ya Allah, cing ageung milik na,neng. ."
2,aing mah hayang cerik sia ngakomen dididieu:(
1,"aing mah teu ngarti deu ku jelema jaman ayeuna, saha nu ngagodaan, bandung nu dikataan ciga kontol, eling sugan sia goublog, KADEK SIA KU AING BENGEUTTTTTT"
4,"Aing masa tidur dua kali, dua temen gue juga kena penyakit. Ah babi pisan sieun kenyataan:("
4,"Aing masa tidur dua kali, dua temen gue juga kena penyakit. Ah babi pisan sieun kenyataan:("
2,Aing mh ges biasa dipohokeun ojol datang weh aya peting kbar nateh duh gusti ni nalangsa kie jelama ku aing perjuangken teh meni teu ngarti
2,"Aing moal menanamkan benci, najan sia ninggalkeun raheut na sanubari. Ngan kade, naon nu di pelak eta nu di ala. TENGETKEUN!!"
4,Aing muringkak bro ngomongkeun apk eta
1,Aing ningali ig na beuki aral ajig ka jelema eta siga nu ngahajakeun
1,aing ningali snapgram na ajgg! ETA HAYANG DI KADEK MEREN SI MT 25! aing otw bandung detik ieu
1,"Aing oge anu baragajul teu kitu2 teuing euy... Masih bisa ngajaga kahormatan awewe, komo eta budak leutik bari gering anu kuduna di pikanyaah kalah di ruksak ku sia Iwan.... Ari sia cageur kudu di dagor sia mah... Modar sakalian di jero bui tah... Kesel Aing...."
4,Aing prnh ngasaan nganggur 2 thn kesel aing ngajedog diimah wae. Tp ayn mh kdu ngjedog diimah aing lain teu sieun virus sieun aing th bari gwe isuk blik pting hate mh keueung (takut) plis aing mnta lockdown ges ngeri ningali peningkatan postif virus na.
1,aing sabar lantaran boga HATE coba lamun boga BATU geus dibalangkeun kana beunget sia!!!
2,Aing sedih meni jauh anjirr ingin nangiss anjir
4,Aing sieun ngadenge suara ambulan
4,Aing sieun ngasaan jiga kieu ajiggg
4,"Aing tadi dihareup tablo, eta aing lumpat gara2 ngadenge sirine"
1,Aing teh bosen aa!!Nempo beunget sia teh!!Seseuh gera a beunget sia na
1,"aing teh kdg suka lier sarua lalaki, ambek kalo chat teu di bales, padahal sia ngechat cuma p doang. kumaha aing hayang blsna? susah pisan keknya ngetik nama atau salam gitu?"
1,aing teh teu suka pisan jeung sia bagong
1,AING TEU SIEUN! KU AING KEPRET OGE TERORIS ANJRITT!
1,"aingmah napsu euyyy ka jelema belet salah grup, batur geus update dan sharing langkah² menghadapi pandemic .... iyeu angger weh pembahasan teh fans 01 vs fans 02 hayang neunggeul mun deukeut mah. sia belegug"
4,"aink ge sieun ieuh, bulu kuduk geus narangtung ieuh"
3,ajig bahagia pisan aing waktu budak ngerasain nyoo yg kaya gitu
3,Ajig bener hari ini tidur meni enak. Tidur jam 9 mlm bangun jam 4 pagi. Tidur lagi dari jam 9 pagi sampe jam 5 soreee. Nikmat hidup
4,"ajig do'a na ni serem kieu, leuwih serem ti budak dejek nu babaledogan kamari"
2,Ajig ieu ci panon teu ereun2 ngurucud
3,Ajig ieu twitwar na ngeunah seuri kieu wkwkwk
2,Ajig meuni sedih grup semua:)
3,"Ajig ngadon babarakatakan kieu ningali persib teh ieu mah, eweuh tegang-tegang na"
3,"Ajig ngadon babarakatakan kieu ningali persib teh ieu mah, eweuh tegang-tegang na"
2,Ajig nyurucud ci panon ginilah gara gara kangen echan
1,Ajig wani sia ka aing??? Ku aing si kadek sia
3,Ajighh meni atoh ngaing uyy
3,Akhirna usai weh kabeh! Aing mah ngan bisa jejeretean bungah ningali sia dapetkeun karma! Hahaha
4,Akhirnye belanja via onlen bnr2 tukang sayur tarutup:( rt udh zona merah sieun keluar rumah ge
2,"Akibat loba teuing pulah pilih. Niatna hayang neangan nu leuwih, tapi akhir na sakur menang kapeurih"
4,Akika gak mungkin ke sana atuh ari iyey eeiiimmm.. Ni sieun ngadenge satpol pp teh
3,aku ga pernah jerawatan twinsss... :) mangkanya ini teh meuni bungah gembira riaa
4,Aku kalo inget tahun 2018 suka muringkak
4,Aku teh lupa password. Pas udah bisa buka twitter tiba-tiba usum virus. Meni sarieun :(
3,"Akun ini dijieun ku aing meh ngeunah seuri, ngeunah mencug, lancar ee jeung ngeunah ngbrol sama batur"
4,Alaaaah sok keueung di ganggayong teh boskeuh
3,alah asa karasa baham saya ngadak-ngadak calangap..cacalawakan hayang ngabarakatak...mantapp kang adang.
2,Alah gusti meni saredih kieu :(
2,alah harr euy asa nyeredet hate kieu macana anjis:(
2,alah sia boy meuni sedih pisan
4,alah siah gusti nu agung abdi kudu kumaha meni sararieun kieu gustiii yaallohh
4,Alah siah... sarieun kitu. Teu aya! Boro2 koleksi. Nu sok share foto jurig ge ku abi mah di block. Tuman nyingsieunan
3,"Alahbatan sagala boga, bagja boga budak rsepna kacida"
4,ALAHSIAH JADI GAK YA KE SAPAR ASA SIEUN bisi motorku melenyap oge soalny baru dimandiin
3,Alhamdulilah bingah ninggal kang @themfuck_jeruji anu ayeuna..tos hijrah smoga ttep istiqomah kang !!
3,"Alhamdulilah Gusti akhirna ACC judul skripsi, meni atoh da"
3,Alhamdulilah simkuring tiasa gumujeng raos ningalina
3,"Alhamdulilla, atos majeng ayeuna mah, mudah-mudahan teras majeng salamina, bingah ningal sareng ngupingna."
3,"Alhamdulillah ,nuhun gusti, nuhun mamah, nuhun sib , nuhun PLN 1point ge uyuhan"
3,"Alhamdulillah ,rezeki budak soleh a Perjuangan 2 jam ,water break solat magrib ,raos"
3,Alhamdulillah 3 point. Nuhun gusti. Nuhun Persib.
3,"Alhamdulillah abdi mah tiasa ka cgv miko, tiasa ka xxi fcl, tiasa ka xxi braga mantap slurrrr"
3,"Alhamdulillah akhirnya saya jadi model euy, haturnuhun pisan kang"
3,Alhamdulillah ala kulli hal Nikmat pisan memang buka puasa teh
3,"Alhamdulillah aya weh rezeki mah, hatur nuhun gusti Allah"
3,Alhamdulillah bagja boga pamajikan siga kieu.
3,alhamdulillah berkahh puasaa pagi2 udh dpt bonus kuota xl
3,Alhamdulillah bingah ningal barudakna sareuri deui lalajo Si Tayo
3,Alhamdulillah bingah pisan kapapancenan janten panuntun acara akad sareng resepsi na Neneng...
3,alhamdulillah di Masjid Jami cibabat Cimahi tiasa jumatan setelah berkeliling yg lain pd tutup. waas pisan kang
3,Alhamdulillah dianggap pemerintah jadi urang sugih
3,"Alhamdulillah dugi bumi. Hatur nuhun Gusti tos masihan kalancaran,hatur nuhun barudak,kalian semua luar biasa"
3,Alhamdulillah Final Finis ke 7 Dari 20 pembalap padahal dari Gr ..Nuhun ka Gusti Allah .. Warga Pantura bisa Balap.....
3,"Alhamdulillah Goal deui...!!! Nuhun Gusti Allah, nuhun Zulham Zamrun."
3,Alhamdulillah gubernur urang mah ges mah kasep pinter bageur
3,alhamdulillah gusti bingah ninggal pun biang tiasa gumujeng lantaran padamelan sim kuring. :')
3,"Alhamdulillah gusti meuni nikmat kieu ieu liwetna, hatur nuhun barudak liwet sareng peteuy bakarna katampi pisan"
3,Alhamdulillah gusti ngeunah seuri ngeunah dahar poe ieu. Thangs a lot alloh swt :))
3,Alhamdulillah gusti nu maha kawasa masih nangtayungan hpna tiasa keneh kiat
3,Alhamdulillah hahahahahahaha *bari seuri* asa bodor bieu mah da antique
3,Alhamdulillah hatur nuhun gusti padamelan tos di janteunkeun hobi
3,"Alhamdulillah hujan meuni ageung nikmat bari ngarokok, ngopi, sisi jalan tegalega, hahay..."
3,"Alhamdulillah hujan terus, ga kerasa lagi puasa. Biasanya hereudang pisan"
3,Alhamdulillah Kahibur Pisan . Nuhun
3,Alhamdulillah katampi pisan kang haji
3,"Alhamdulillah lin, aku ma hoyongna telentang meni nikmat haha"
3,Alhamdulillah masih bisa dibere seuri walaupun keur nutupan kanyeuri. Selalu mensyukuri naon anu diberi :)
3,Alhamdulillah meuni nikmat ai gs nyampe kasur tuluy nangkarak bin telentang
3,Alhamdulillah meuni nikmat ieu seri
3,"Alhamdulillah meuni nikmat kieu raraseun th. Nuhun gusti, masihan jlan nu sae."
3,"Alhamdulillah meuni nikmat kieu sorabi si emih purbaratu, recommended sorabi pang ngeunah na saalam dunya (y)"
3,alhamdulillah meuni nikmat makan kur jeng sayur ge...:-)
3,Alhamdulillah meuni nikmat mam srg pencok+kurupuk.... Tapi nging aduh deui ya alloh....
3,"Alhamdulillah meuni nikmat pisanlah hidup kaya gini tuh,mskipun besok senen tp msh berasa satnite karna besok libur"
3,Alhamdulillah meuni nikmat pulang2 dikasih makanan Desa
3,"alhamdulillah meuni nikmat saum teh, hayoo atuh gera berhenti godinnya"
3,Alhamdulillah meuni nikmat th karasana ai udud tos mam th adeuuhh syukuran ya allah
3,Alhamdulillah meuni nikmat tuang sareng lotek nganggo sangu haneut......
3,Alhamdulillah Nasi goreng seafood plus bumbu pulitiknya .. Hatur nuhun Gusti Alloh...
3,Alhamdulillah nasi tutug oncom bwtan si mba+sambel bu rudi meuni nikmat
3,Alhamdulillah natal tahun ini kumpul sama umi abi aa teteh sadayana nuhun gusti
3,"Alhamdulillah ngeunah seuri, ngeunah dahar, seuri lebar nuhun ya alloh :)"
3,"alhamdulillah ngiring bingah ningali anjeunna tos seperti biasa deui, nuhun gusti..."
3,Alhamdulillah nuhun gusti lolos ka semifinal Nuhun Persib Nuhun Bobotoh maraneh keren parah
3,"Alhamdulillah nuhun gusti, boga baturan soleh"
3,Alhamdulillah nuhun nuhun pisan tos disebut geulis
3,"Alhamdulillah nya teh adik udah gede, bisa jadi superot siestem lanceknyah tea. Alhamdulillah pisan."
3,Alhamdulillah pami tos sodakoh aya wae babalesna langsung anu langkung...nuhun gusti nu agung jumat ieu berkah...
3,Alhamdulillah pengertian pisan ker dadas teh uhuuy
3,alhamdulillah pisan bisa sare normal
3,Alhamdulillah pisan cees tos dipasihan kesetahan sareng rezeki nu sae
3,Alhamdulillah pisan gusti akhir tahun teh berkah
3,"Alhamdulillah sabenerna diluar dugaan, edukasi tentang wabah covid-19 ternyata geus nepi ka pelosok, matak teu aneh di masyarakat urang loba nu geus kabangun kasadaran-na nerapkeun pola hirup sehat jeung mariilih cicing di imah, jadi lain pedah kasieunan sih ."
3,Alhamdulillah seeur pisan menu buka puasa . Semoga di luar sana tidak ada kesusahan ya
3,Alhamdulillah sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahaahah
3,Alhamdulillah sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahaahah
3,alhamdulillah seuri dei berkat teman teman haha
3,Alhamdulillah seuri seubeuh jabin show edisi perdan =))
3,Alhamdulillah si om sehat.....etapi kalahkah seuri pas dibilang pd kangen di twitter
3,"Alhamdulillah sib, nuhun tos nyieun bungah bobotoh. Doa terbaik"
3,"Alhamdulillah suami lagi sibuk WFH pun selalu nyempetin bantu pekerjaan rumah, nuhun gusti katampi pisan."
3,Alhamdulillah tiasa gumujeng raos ku mang adeng sareng mira.
3,Alhamdulillah tiasa kempel meskipun tambah sibuk
3,Alhamdulillah urang sunda mah. Raramah jaba berehan deui. Kopi ples jeung acisna. Nuhun pisan Aa
3,"Alhamdulillah wareg, katampi pisan, sing barokah ususna"
3,"alhamdulillah wengi bobo meni raoseun, 8 jam tibraaa. hatur nuhun katampi"
3,Alhamdulillah y Allah ninggali kolot bingah mah ngiring bingah
3,Alhamdulillah ya Allah atos jongzon abdi ayuna.. mugia aya hikmah na tina kajanteunan ieu sadaya na.. pasti aya amis saatos pait.. janji Allah..Aamiin... tetap slalu bersyukur pada-Mu ya Allah..
3,Alhamdulillah ya allah nikmat pisan geuning ai cicing di lembur mah
3,Alhamdulillah ya Allah nuhun pisan nuhun
3,Alhamdulillah ya allah:)nuhun gusti saya sudah bisa menjalankan ibadah tengah malam nuhun gusti:)
3,Alhamdulillah ya Allah.. ditampi pisan...
3,"ALHAMDULILlAH YA ALLAH..NUHUN GUSTI PERSIB MENANG..Nuhun buat semua pemain,pelatih dan official yg udah kerja keras..Nuhun nuhun GUSTI:')"
3,Alhamdulillah ya boga dunungan royal pisan
3,"Alhamdulillah yaa allah ,mung sakieu ge mani bingah ningal mamah sareng bapa tiasa ngaraoskeun hasil jerih payah abi :)"
3,alhamdulillah yaallah ditampi pisan tahun ayeuna puasa dibumi .
3,"Alhamdulillah, malam ini bobo nya enyakkkkkk... karena adem pisan euy..."
3,"alhamdulillah, meni nikmat ningan hirup teh #edisi 234 + abc kopsus, ngupingkeun hariring di sisi balong :D"
3,"Alhamdulillah, ngiring bingah kang tiasa ngiring ngabantos mah"
3,"Alhamdulillah, ngiring bingah ningal rerencangan sakola SMA Kang Adang Muhyidin berhasil menggapai impian. Mugia berkah salawasna dipaparin kalancaran Amin Ya Rabbal Alamii"
3,"Alhamdulillah, nuhun Gusti kanggo nikmat sareng hidayah dinten ieu. Mugia janten barokah kanggo abi, keluarga sareng dulur sadayana. Amiin"
3,"Alhamdulillah, raos pisan ngadangun adzan teh"
3,"alhamdulillah,cape seuri,,dan saat dulu saya mersa tidak punya apa-apa,hanya kalian yang tersisa,nuhun ipalima."
3,"Alhamdulillah. Air herang, jelly, sareng bala-bala. Pas adzan magrib, nguyup air herang meuni nikmat ya Alloh."
3,Alhamdulillah. Meuni nikmat buka puasa bala2 jeung es kelapa ge:*
3,"Alhamdulillah.. Bagja pisan tiasa ngabantosan rekan2 nu teu acan gaduh damel, mudah2an sagala rupi amal ibadah na janten berkah..Amin"
3,Alhamdulillah.. Hade pisan boga gubernur teh euy..
3,Alhamdulillah.. Hatur nuhun gusti!! Hatur nuhun sib!! Hatur nuhun bobotoh!! PERSIB AING JUARA DEUI!
3,"Alhamdulillah.... Bungah kacida Persib Juara..., Wilujenggggggg"
3,"Alhamdulillah....meuni sholeha, enjing2 tos kukumbah parantos sarapan atuh"
3,alhamdulillah...rejeki seuri mah aya we tengah wengi..HAHAHAHAHAHAHAHAHA
3,"AlhamduliLlah..cuaca na meuni sae,ngadangu azan maghrib oge asa nu nikmat kieu ieu teh..."
3,Alhamdullilah air asia tos kapendak.. Subhanallah nuhun gusti
3,"Alhamdullilah Kang Jajanggg , meuni bingah macana oge"
3,Alhamulilah nambah ilmu dan keyakinan untuk meningkatkan iman kita dlm menghadapi musibah ini
3,"alhdllh di tahun ayeuna 2014 senang , bahagia , campur aduk, nuhun gusti , nuhun sayang"
3,Alhmdllah...bres lari pgi asa ku bingah ningal grbang situ buleud tos teu d segel...almdllah#NuhunPakPolisi
2,Alhmdulillah calageur awak n mah ngana ri maslah hate mah akur w kabeh .. ripuh
3,alian pernah manggih duit tina pesak calana nu geus lila ? Aing bieu men manggih majuta ni asa bagja euy aslina
2,"Alika ge nalangsa sigana, komo lamun naon wae nu pernah dilakonan jeng Anhar heg kajadian deui jeung salakina, eta bakal kasiksa kacida sabenernya mun dibayangkeun mah, anggeus ayeuna mah sok weh sing salabar heg mun bobogohan teh cing bari usaha meh bisa nikahna jeng nu eta :"")"
3,"Allahu akbar.... ini tangisan kebahagiaan.. hatur nuhun gusti, hatur nuhun Persib, hatur nuhun bobotoh"
2,"Allahuakbar kecelakaan depan mata..deudeuh teuing neng,,pke motor kesenggol mobil.. Depan Hotel BananaInn Setiabudi"
3,"Allhamdulillah jalmi anu sasarengan sareng abi ayeuna ageung kasabaran, seer ngelehan, hnt egois, hnt ngutamakeun hobby, hnt cuek, ajeuna bisa sabar tina sagala tingkah abi anu awon sarrng bbudakeun"
3,"Allhamdulillah,,hatur nuhun pisan the nya teh @miadasmawati meuni bungah kawiwirang lgsg di waler ku teteh,,hehe !!"
3,"Allhamdulillah,,hatur nuhun pisan the nya teh miadasmawati meuni bungah kawiwirang lgsg di waler ku teteh,,hehe !!"
3,Allohu Akbar..Alhamdulillah Gusti. Hatur nuhun ka sadayana..
1,Alus jeung pas pisan eta judul tulisanna si abu janda mh emg pantes disebut anjing rabies & anjing setan. Kudu dipaehan eta jelma
2,Aman di dinya sep? Asa ngadadak sono balik anjir :( ngan maca berita eta inget oge ka indung.
1,ampe ukk online gimana anying atuh lah corona go away sia teh ngahesekeun jelema pisan
3,ampun kang ieu keur taruang sakeluarga taramplok sangu na piring nyakakak ningali bieu michael jordan
1,"AMPUN SIA MENI TEU BISA DI KEHEULA KEHEULA AING KA IMAH TEH LAIN REK NGABABU ATAUPUN REK HOLIDAY TAI TEH AING AYA TUGAS ISUK ISUK DITITAHAN, DI KEHEULA KEHEULA GANDENG PISAN SUNGUT TEH RAWING ANYING"
1,"anggap wee cucunguk nu ngalewat , leyek ku aing anji"
4,Angger we hariwang nempo duet Phul Jones jeung Indra Mustafa Yahabibi
4,Angin naaa meuni ageung duh sok palaur ari kieu th mangkaning imah nu dicicingan ku uing mah dikurilingan ku tatangkalaan
1,ANJ DAH LAH DO AJA GOBLOG HAYANG AING GELUTAN BGST TEH AYA2 WAE
4,Anjayy kunaon sih sararieun kieu mneh ul
1,ANJENG GOBLOG SIA KADIEU KADEK SIH KU AING KOPLOK
4,anjengggg sarap ciwastra sarieun kieu
4,anjiiiir sumpah ngabirigidig yeuh bulu kuduk sieun...
4,anjiiiir sumpah ngabirigidig yeuh bulu kuduk sieun...
4,Anjiir aing jadi sarieun dah
1,ANJING AHH AYA AYA WAE PINAFSUEUN TEH.
1,ANJING ARAL ai sia hayang naon ti aing di kepret ku aing sakali mw balad sia nyerang ka aing ...
1,Anjing bawaan na teh pinafsueun jelema teh
1,Anjing emang pep hayu ulin goblog aing keur aral
4,"anjing eta nu paeh main komp serem, aing ga akan begadang 2poe full deui ah sieun kajadian, sarua pisan kronologina jeung aing"
1,"Anjing facebook aing aya nu ngacak""...ijid mah ngmong harepn aing...!!"
1,anjing kirakira moal mantuan mah ngomong tatadi atuh setan wayah kieu karek males eweuh kuotaan. galey ku aing gera anjing teh.
3,Anjing moe segon hahahahaba Nuhun ieu abi nyakakak
1,Anjing mun aing jd pol ppna ku aing tonjok asli
1,Anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel
1,Anjing pisan jaket aing turun harga:
1,"Anjing pisan yeh jaringan indosat, moal di beli2 deui bagong"
2,Anjing sedih pisan tablo aing tewas
1,Anjing wasitna goblog bagong nga bela MU tai dasar tah wasit teh hayang di kulup diga hui boled
1,"anjing,lamun di jatinangor sia ges ku aing buburak da."
1,Anjir bgt mnh bighit hayang digaplok ku urg oge. Naha te mere nyaho tiheula? Pan aing jantungan dek sare teh mnh mah eweuh gawe anjir
2,anjir jaman ituteh ga akan keulang lagi ya meuni sedih
2,anjir jaman ituteh ga akan keulang lagi ya meuni sedih
4,Anjir lalajo nightmire serem kieu dong
4,"anjir maneh ih,sarieun aing mah pas ninggali halaman depanna ge"
4,"anjir meni segitunya, grgr corona langsung sarieun:(("
4,anjir mun masih keneh kieu mah dek ka jakselna ge sieun
2,"Anjir, aslina kaduhung pisan teu nurutan saranna:("
3,anjis gol tadi bikin aing senang!! leuwih senang tibatan ningali si mantan dipegat lising
2,Anjis lagu peterpen jeung candil ngalewat jadi cucurucudan gini
4,"Anjis sarieun tatadi ningali aa gangster ngomong mah,aya wae samurai na"
4,"Anjis,aslina di sukajadi jadi keeng kieu ,siga di hutan"
4,anjr.muka ny serem abiz.ngabirigidig gua liat muka ny.
4,anjrit apasih meni takut
4,"anjrit sarap ki embung, ieu weh geus ngadegdeg aing"
4,"Antik tadi gojek, saking keeung na jalan sariwangi kuatka ngecek aing jelema atau lain"
2,Anu di pikasiyeun teh kanyataan. . Hate ngajerit nyeri perih na teu kagambarken bakat ki ranjet.
4,anu kacirina sok senang senang bareng hreupeun urang oge di omongkeun tukangeun mah.. komo deui urang mereunan nya. asa sarieun kieu!
1,anying asa hayang neunggeul batur
3,ANYING CAPE AING NGABARAKATAK MACANA
1,Anying gelud wae sia teh goblug
1,"anying jangar teu boga duit pisan lieur, hayang mabok. meuli ah"
1,"Anying kesel bgt sumpah, mun panggih di tonjok ku aing da"
1,Anying lah korona korona program kerja saha sih ieu kehed teh.
1,Anying laknat pisan jelema teh
1,"Anying tangkurak tong ngabongohan ku bedil, samperken aing ka indonesia di leyek ku aing tangkurakna siah"
3,anying teu eureun2 aing seuseurian wae anying
3,anying teu eureun2 aing seuseurian wae anying
1,"Anying, beleum lah awewe na. Naha aing jadi kababawa aral kieu :("
1,"Anying, naon deuih... Cik atuh tong goblog2 teuing hirup teh... Make ngaletak wc si goblog... Surup gening hirup sia..."
2,anying! Ieu film di sctv nyieun hayang leweh.. hayang aya di bandung deui... Mamaaaaaaaahhhh!
1,Anying. Esmosis kieu. Hayang neunggeul poskamling make kolak sak drum badag.
3,anyinggg nuhun ieu maca komenan netizen bandung meuni bahagia kieu abdi
2,"Anyink meuni rehe kieu arek puasa, sedih siah"
1,Apa atuh ini teh ? Kekinians ? Tapi keblinger .. cik atuh lah nga adminan akun official persib teh rada baleg saeutik mah .. jangan kayak gini caranya .. jangan malu2in ya .. punteun pisan ini mah
1,"Apa gunanya sih d twet ngaploud foto"" bokep eweh gawe si aranjing hadeuhhh geura arinsaf sateh !!!"
4,Apa kabar ciamis? Sedi aku tu cape kudu ameng na ka tasik wae. Bumi caket alun2 ge jam 10 asa keueung tiiseun
3,Apresiasi kanggo lini pertahanan! Nuhun abi bungah ieu :)
4,"Aq ps nyebrang ad yg teriak blkg aq untung lh bkn aq yg d jambret,ngaderegdeg lgsg aq jg"
